Abbreviation,Ion Full Name,SMILES
"[P2,2,2,5]",triethylpentylphosphonium,CCCCC[P+](CC)(CC)CC
"[P2,2,2,8]",triethyloctylphosphonium,CCCCCCCC[P+](CC)(CC)CC
"[P4,4,4,6]",tributylhexylphosphonium,CCCCCC[P+](CCCC)(CCCC)CCCC
"[P4,4,4,10]",tributyldecylphosphonium,CCCCCCCCCC[P+](CCCC)(CCCC)CCCC
"[P4,4,4,2]",tributylethylphosphonium,CCCC[P+](CC)(CCCC)CCCC
"[P4,4,4,8]",tributyloctylphosphonium,CCCCCCCC[P+](CCCC)(CCCC)CCCC
"[P2,2,2,2O2]",(2-ethoxyethyl)triethylphosphonium,CCOCC[P+](CC)(CC)CC
"[P2,2,2,2O1]",(2-methoxyethyl)trimethylphosphonium,COCC[P+](CC)(CC)CC
"[P4,4,4,2O2]",(2-ethoxyethyl)tributylphosphonium,CCOCC[P+](CCCC)(CCCC)CCCC
"[P2,2,2,4]",triethylbutylphosphonium,CCCC[P+](CC)(CC)CC
[EMIM],1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C
[BMIM],1-butyl-3-methylimidazolium,CCCCN1C=C[N+](=C1)C
[HMIM],1-hexyl-3-methylimidazolium,CCCCCCN1C=C[N+](=C1)C
[OMIM],1-octyl-3-methylimidazolium,CCCCCCCCN1C=C[N+](=C1)C
[MMIM],1-methyl-3-methylimidazolium,CN1C=C[N+](=C1)C
"[N2,2,2,5]",triethyl-pentylammonium,CCCCC[N+](CC)(CC)CC
"[N1,1,2,5]",dimethyl-ethyl-pentylammonium,CCCCC[N+](C)(C)CC
"[N1,1,2,7]",dimethyl-ethyl-heptylammonium,CCCCCCC[N+](C)(C)CC
"[N1,1,1,4]",trimethyl-butylammonium,CCCC[N+](C)(C)CC
"[N1,1,2,2(N11)]",1-(2-dimethylaminoethyl)dimethylethylammonium,CC[N+](C)(C)CCN(C)C
"[N1,2,2,2O1]",diethyl-methyl-(2-methoxyethyl)ammonium,COCC[N+](C)(C)C
"[N1,2,2,4]",diethyl-butyl-methylammonium,CCCC[N+](C)(CC)CC
"[N1,1,1,2OH]",trimethyl-(2-hydroxyethyl)ammonium,C[N+](C)(C)CCO
"[N1,1,2,2OCO1]",dimethyl-ethyl-(acetoxyethyl)ammonium,CC[N+](C)(C)CCOC(C)=O
"[N1,1,2,2O2O1]",dimethyl-ethyl-(methoxyethoxyehtyl)ammonium,CC[N+](C)(C)CCOCCOC
[Pyr14],N-butyl-N-methylpyrrolidinium,CCCC[N+]1(C)CCCC1
[Pyr13],N-propyl-N-methylpyrrolidinium,CCC[N+]1(C)CCCC1
[bpy],1-butylpyridinium,CCCC[N+]1=CC=CC=C1
[C2dmppz],"1-ethyl-1,4-dimethylpiperazinium",CC[N+]1(C)CCN(C)CC1
[3-ABN13],N-methyl-N-propyl-3-azabicyclo[3.2.2]nonaneium,CCC[N+]1(C)CC2CCC(CC2)C1
[Tf2N],(trifluoromethanesulfony)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[TFA],trifluoroacetate,[O-]C(=O)C(F)(F)F
[OMs],methanesulfonate,CS([O-])(=O)=O
[OTf],trifluoromethanesulfonate,FC(F)(F)S([O-])(=O)=O
[TCM],methanesulfonate,N#C[C-](C#N)C#N
[3CF3Pyra],3-trifluoromethyl-pyrazolide,FC(F)(F)C1=N[N-]C=C1
[3CH35CF3Pyra],3-methyl-5-trifluoromethylpyrazolide,CC1=N[N-]C(=C1)C(F)(F)F
[Inda],indazolide,[N-]1N=CC2=CC=C=CC=C12
[TCB],tetracyanoborate,N#C[B-](C#N)(C#N)C#N
[FAP],tris(pentafluoroethyl)trifluorophosphate,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
[PF6],hexafluorophosphate,F[P-](F)(F)(F)(F)F
[BF4],tetrafluoroborate,F[B-](F)(F)F
[2CNPyr],2-cyano-pyrrolide,N#CC1=CC=C[N-]1
[4triz],4-triazolide,[N-]1C=NC=N1
[3triz],3-triazolide,[N-]1C=CN=N1
[4NO2Pyra],4-nitropyrazolide,[O-][N+](=O)C1=C[N-]N=C1
[3NO2Pyra],3-nitropyrazolide,[O-][N+](=O)C1=N[N-]C=C1
[tetz],tetrazolide,[N-]1C=NN=N1
[CH3SO4],methylsulfate,COS([O-])(=O)=O
[(C2F5SO2)2N],bis(perfluoroethylsulfonyl)imide,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F
[CF3CO2],trifluoroacetate,FC(F)(F)C([O-])=O
[(FSO2)2N],bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(F)(=O)=O
[CF3OCF2CF2BF3],perfluoro(2-methoxyethyl)trifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)OC(F)(F)F
[CF3CF2CF2BF3],perfluoropropyltrifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
[CF3CF2CF2CF2BF3],perfluorobutyltrifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
[CF3SO2NSO2C4F9],(trifluoromethanesulfonyl)(nonafluorobutanesulfonyl)imide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
